step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
103,TRANSFER,4968.26,C0,1295.44,2973.69,M0,736.72,12519.81,0
436,TRANSFER,4042.43,C1,14776.55,17356.65,M1,13359.65,15868.39,0
271,CASH_OUT,6789.81,C2,4230.57,6030.88,M2,12996.45,10921.25,0
107,TRANSFER,4214.76,C3,7868.71,9081.52,M3,18818.71,11614.98,0
72,CASH_IN,9614.56,C4,1282.71,10522.86,M4,14267.35,15997.16,0
701,CASH_OUT,5996.78,C5,4525.39,17010.13,M5,15926.04,10576.87,0
21,PAYMENT,8076.7,C6,15858.05,18632.15,M6,18091.82,12223.09,0
615,CASH_OUT,1102.47,C7,16087.93,18593.06,M7,13501.04,10324.35,0
122,DEBIT,3978.94,C8,4141.7,159.08,M8,5803.07,17609.16,0
467,PAYMENT,3375.11,C9,6718.28,18437.77,M9,17395.48,4710.33,0
215,DEBIT,5699.13,C10,2684.77,1087.74,M10,14951.56,5279.87,0
331,PAYMENT,8612.52,C11,1483.45,5315.47,M11,8488.75,2559.23,0
459,TRANSFER,792.6,C12,19843.43,10299.76,M12,14210.58,16389.34,0
88,CASH_OUT,735.02,C13,13111.88,9598.51,M13,17353.78,8235.55,0
373,CASH_IN,8504.67,C14,10841.93,12094.2,M14,19513.04,6957.88,0
100,PAYMENT,2136.37,C15,15309.97,9588.92,M15,19047.03,19626.97,0
664,PAYMENT,6690.85,C16,16801.54,18687.51,M16,6506.56,18536.07,0
131,DEBIT,5433.35,C17,16134.3,4810.98,M17,8433.87,19439.75,0
662,TRANSFER,8330.61,C18,330.79,5480.49,M18,2190.73,2845.98,0
309,DEBIT,1259.64,C19,3736.16,18414.76,M19,4950.89,17825.04,0
344,DEBIT,1306.53,C20,13098.11,1534.79,M20,17648.42,6574.19,0
492,TRANSFER,5572.62,C21,7515.19,12191.22,M21,7217.0,253.14,0
414,CASH_IN,9464.32,C22,19649.65,13634.72,M22,12411.05,7825.97,0
386,DEBIT,4155.83,C23,13308.1,10110.83,M23,13319.31,10183.93,0
192,DEBIT,3276.15,C24,19130.98,13884.64,M24,15636.59,2164.41,0
277,PAYMENT,6070.83,C25,4028.93,3455.09,M25,3656.0,10753.55,0
161,TRANSFER,9305.18,C26,17279.14,17052.64,M26,6096.26,16389.27,0
460,CASH_OUT,8370.91,C27,6427.05,2800.51,M27,8966.73,7553.02,0
314,CASH_IN,9954.88,C28,19791.3,8016.25,M28,7296.82,7052.9,0
22,CASH_IN,235.46,C29,3153.77,1505.15,M29,19658.1,6776.21,0
253,TRANSFER,1137.45,C30,10326.8,10904.22,M30,16698.82,18461.89,0
561,PAYMENT,6098.58,C31,15856.89,13394.92,M31,9593.74,975.16,0
475,PAYMENT,8207.56,C32,8652.85,18824.43,M32,17585.37,8901.52,0
59,TRANSFER,2859.59,C33,9361.68,14786.72,M33,6953.06,5291.99,0
511,PAYMENT,2399.72,C34,19727.12,10822.06,M34,15716.57,17876.14,0
682,CASH_IN,7871.89,C35,8506.16,18652.34,M35,4473.51,1921.05,0
476,CASH_IN,573.25,C36,12081.44,9568.74,M36,15446.44,8228.86,0
700,CASH_OUT,3700.13,C37,1090.79,11224.11,M37,9129.07,8136.32,0
190,TRANSFER,5063.03,C38,16844.2,11921.97,M38,2149.99,17767.89,0
687,DEBIT,5607.88,C39,12963.36,8199.59,M39,5465.25,4309.87,0
563,DEBIT,7288.87,C40,8080.4,16769.65,M40,8045.49,12897.91,0
567,CASH_OUT,3554.91,C41,323.39,3703.52,M41,14985.86,2688.12,0
244,CASH_OUT,6130.72,C42,11833.38,11096.84,M42,1459.65,19079.51,0
505,PAYMENT,5857.9,C43,253.16,14444.67,M43,13190.94,11860.3,0
131,CASH_OUT,5480.68,C44,24.07,18079.52,M44,14320.27,12525.13,0
485,CASH_OUT,6408.43,C45,12321.97,17678.37,M45,13078.43,8675.47,0
647,DEBIT,2601.9,C46,3780.34,10174.81,M46,15213.39,6845.65,0
21,PAYMENT,855.64,C47,3837.75,12863.23,M47,3563.37,4253.53,0
167,CASH_OUT,1201.52,C48,13065.43,7884.75,M48,11742.07,12079.76,0
274,CASH_OUT,2253.58,C49,1073.94,9363.56,M49,18822.9,19091.23,0
388,PAYMENT,5006.98,C50,6268.11,18125.32,M50,12215.69,7195.82,1
601,TRANSFER,8406.02,C51,2988.64,18614.08,M51,12226.73,17663.14,0
316,PAYMENT,7015.92,C52,11603.53,17908.28,M52,14728.79,2975.53,0
14,DEBIT,7892.52,C53,13235.3,2767.42,M53,6664.08,18722.52,0
242,TRANSFER,3516.25,C54,14422.72,17001.68,M54,14009.52,7009.73,0
346,CASH_IN,4052.49,C55,5104.62,18967.27,M55,18324.68,7594.54,0
565,PAYMENT,3942.88,C56,1785.0,7224.99,M56,217.91,9256.85,0
340,DEBIT,1926.81,C57,1573.67,10372.93,M57,17402.26,14364.89,0
92,TRANSFER,621.55,C58,8523.03,15581.91,M58,4372.37,14393.07,0
367,PAYMENT,5913.25,C59,18916.89,11241.56,M59,9118.47,9591.77,0
455,CASH_OUT,9892.27,C60,4354.58,19869.67,M60,17046.96,10463.06,0
428,PAYMENT,1676.63,C61,5134.83,9114.27,M61,16478.24,600.21,0
509,CASH_IN,476.38,C62,2017.78,14278.85,M62,17838.55,6085.93,0
35,PAYMENT,7797.52,C63,12111.41,15851.82,M63,18808.34,6920.34,0
206,TRANSFER,2533.33,C64,13597.46,9882.01,M64,8943.14,11174.55,0
81,TRANSFER,8298.14,C65,12858.62,17139.68,M65,13127.28,11166.0,0
562,PAYMENT,7042.33,C66,17222.6,10923.09,M66,7809.57,14198.0,0
388,TRANSFER,9457.28,C67,9728.52,8233.02,M67,7014.33,14340.55,0
2,CASH_OUT,4095.18,C68,2689.14,2156.47,M68,8631.91,4704.21,0
390,PAYMENT,6623.08,C69,5788.1,7868.27,M69,14861.52,15403.74,0
566,CASH_OUT,4653.9,C70,13248.6,14678.73,M70,10028.81,392.07,0
106,CASH_OUT,6309.58,C71,12262.44,18425.73,M71,16281.19,14323.24,0
477,DEBIT,4501.49,C72,10620.06,5033.59,M72,14904.37,2041.22,1
703,PAYMENT,1894.44,C73,13659.29,7104.71,M73,409.57,14592.96,0
402,TRANSFER,5083.9,C74,12747.82,3079.22,M74,12604.76,10542.36,0
730,CASH_OUT,5290.56,C75,17626.5,13814.46,M75,8731.42,8745.09,0
556,DEBIT,8107.93,C76,11720.33,19203.77,M76,9132.58,13813.33,0
162,PAYMENT,7357.85,C77,15572.03,12819.04,M77,16367.46,727.42,0
202,PAYMENT,6641.28,C78,4974.14,12341.53,M78,10952.16,4469.41,1
270,CASH_IN,1142.74,C79,13563.65,11069.8,M79,17712.44,12328.8,0
271,CASH_IN,7208.96,C80,18043.88,1769.11,M80,14256.11,16944.31,0
456,CASH_OUT,5008.05,C81,7714.65,14590.08,M81,11056.8,7622.15,0
462,CASH_IN,8942.05,C82,15582.08,12040.99,M82,15090.76,5175.23,0
727,CASH_OUT,9199.51,C83,14495.79,13229.54,M83,766.98,10374.73,0
252,TRANSFER,561.01,C84,1190.52,17976.22,M84,541.67,12446.31,0
702,CASH_OUT,8208.21,C85,11630.17,15679.22,M85,1666.99,8402.06,0
296,CASH_IN,386.6,C86,2603.79,15618.31,M86,8751.31,17534.21,0
725,TRANSFER,3678.02,C87,19346.38,18543.68,M87,4709.0,10468.77,0
720,CASH_IN,5427.58,C88,16228.15,19798.7,M88,19685.23,716.47,0
338,CASH_OUT,1489.53,C89,2194.48,11625.65,M89,10845.8,4461.08,0
53,DEBIT,7465.67,C90,2435.04,2177.63,M90,13248.31,9012.94,0
217,PAYMENT,93.46,C91,11889.48,9182.6,M91,5576.4,13954.51,0
188,CASH_IN,1694.3,C92,6897.78,15752.02,M92,6435.94,4395.04,0
380,CASH_OUT,5812.16,C93,698.12,554.51,M93,6709.24,19525.15,0
493,TRANSFER,7146.73,C94,10832.83,1137.75,M94,13974.71,6371.17,0
41,CASH_IN,9167.26,C95,7756.9,1343.16,M95,9474.12,10649.6,0
157,CASH_IN,7057.91,C96,2021.53,14620.72,M96,10353.67,379.33,0
15,PAYMENT,6721.07,C97,16038.41,10023.33,M97,11840.06,17697.81,0
65,CASH_OUT,3949.47,C98,18301.54,7377.96,M98,15376.23,15776.69,0
521,DEBIT,22.83,C99,15131.88,2112.34,M99,1807.39,3909.16,0
344,TRANSFER,1210.39,C100,16448.45,14644.81,M100,15537.48,18664.73,0
129,CASH_OUT,5350.2,C101,4329.81,6420.4,M101,11264.7,6316.8,0
648,TRANSFER,6754.55,C102,5271.46,5306.48,M102,13381.91,13843.73,0
472,CASH_IN,4180.31,C103,4170.55,13046.38,M103,6551.04,16379.53,0
63,PAYMENT,7309.48,C104,15301.27,11180.22,M104,8187.74,14818.29,0
139,PAYMENT,5223.4,C105,18958.34,7248.21,M105,4623.32,18351.66,0
499,DEBIT,751.02,C106,14336.74,12829.75,M106,19586.0,17285.5,0
593,PAYMENT,1928.24,C107,17629.34,5424.43,M107,9940.06,19892.23,0
392,CASH_IN,8401.58,C108,12773.98,15896.61,M108,19921.54,3652.23,0
675,DEBIT,7251.88,C109,7753.2,4586.38,M109,9795.72,6095.24,0
419,CASH_OUT,8948.67,C110,8515.23,3176.75,M110,4395.03,12724.52,0
289,PAYMENT,1184.4,C111,1506.43,15648.79,M111,10149.05,14660.94,0
379,DEBIT,9902.32,C112,629.14,14157.84,M112,791.91,10692.1,0
490,CASH_IN,2101.97,C113,13909.51,3652.78,M113,18095.4,1478.57,0
231,TRANSFER,127.68,C114,8768.58,2324.92,M114,16371.01,16831.9,0
41,TRANSFER,9974.26,C115,11044.3,16767.98,M115,14516.41,19217.49,0
28,CASH_IN,2817.93,C116,11153.22,15531.97,M116,12196.53,8110.34,0
135,CASH_IN,6683.51,C117,5547.52,6545.15,M117,11596.68,4496.25,0
201,TRANSFER,1775.06,C118,9517.85,13163.95,M118,19934.56,386.28,0
33,DEBIT,5806.48,C119,9415.2,2483.2,M119,5559.95,4745.98,0
48,TRANSFER,9041.31,C120,7768.54,10140.95,M120,15593.69,13998.38,0
503,CASH_IN,3208.61,C121,16413.51,374.61,M121,11628.1,18231.79,0
407,PAYMENT,6705.84,C122,9023.28,7832.04,M122,19517.61,1870.26,0
574,CASH_OUT,1887.16,C123,12072.89,1496.86,M123,16556.06,11065.18,0
728,PAYMENT,6251.71,C124,17910.4,9502.94,M124,19970.5,13910.62,0
99,PAYMENT,3371.14,C125,17324.67,8433.63,M125,11766.5,5527.62,0
684,CASH_IN,2119.97,C126,17808.44,8887.7,M126,4090.88,11397.94,0
726,TRANSFER,3138.69,C127,5400.1,906.63,M127,10073.74,14304.97,0
547,DEBIT,1796.62,C128,699.65,7232.33,M128,14222.22,16754.38,0
739,PAYMENT,9020.14,C129,5221.34,15129.68,M129,15487.21,9050.0,0
613,TRANSFER,3977.9,C130,5574.15,7378.29,M130,10.2,14957.14,0
462,DEBIT,2460.34,C131,18187.21,14303.44,M131,10100.54,6035.66,0
643,PAYMENT,4489.59,C132,12984.85,7389.57,M132,4704.69,4260.93,0
5,DEBIT,3212.16,C133,1634.08,8464.79,M133,17498.24,3746.27,0
218,TRANSFER,7446.75,C134,2707.57,11277.84,M134,3058.11,7177.45,0
503,CASH_OUT,9712.49,C135,3113.52,19013.64,M135,13329.12,717.59,0
398,TRANSFER,4385.96,C136,12608.43,2177.21,M136,5321.24,5659.84,0
393,CASH_IN,8611.72,C137,14708.28,658.28,M137,7130.84,13044.46,0
207,DEBIT,5662.97,C138,17192.88,12159.14,M138,18811.19,12958.38,0
15,CASH_OUT,1580.78,C139,18812.73,18981.94,M139,4808.96,1471.08,0
554,DEBIT,6909.32,C140,4034.09,19794.46,M140,1900.06,5748.31,0
461,DEBIT,5139.21,C141,6195.45,9683.28,M141,1385.7,11391.15,0
691,PAYMENT,6509.56,C142,4806.46,9361.63,M142,10092.3,6371.04,0
575,CASH_IN,8897.98,C143,7175.23,12899.28,M143,12834.23,8359.76,0
743,DEBIT,4409.94,C144,18293.3,11112.7,M144,6545.87,14256.22,0
241,TRANSFER,9012.76,C145,11502.25,12681.76,M145,13805.19,185.34,0
564,TRANSFER,7509.18,C146,14763.84,17479.99,M146,1220.67,5527.87,0
96,PAYMENT,4891.16,C147,9802.38,14926.12,M147,17146.69,2847.44,0
734,CASH_IN,6036.19,C148,577.16,9937.55,M148,16331.34,2552.18,0
485,CASH_IN,3262.56,C149,1283.91,9237.29,M149,19709.93,19180.8,0
407,TRANSFER,9836.14,C150,10758.46,12792.03,M150,18730.1,7531.21,0
231,CASH_OUT,6676.84,C151,14375.78,9114.13,M151,7123.94,10541.77,0
655,PAYMENT,448.03,C152,4306.61,9155.59,M152,7985.51,14676.44,0
171,PAYMENT,3272.95,C153,14438.19,326.12,M153,14919.3,948.95,0
541,TRANSFER,6236.91,C154,16213.32,3481.28,M154,2681.66,4820.45,0
36,TRANSFER,572.77,C155,8237.95,9770.27,M155,6280.29,16642.96,0
525,CASH_OUT,248.6,C156,14928.38,16453.07,M156,2370.82,17239.81,0
160,CASH_OUT,4505.74,C157,8080.6,5574.54,M157,9097.73,7459.02,0
